layer,topic-id,topic-code,topic-name,lesson-path,source-path
63,1731,PS1.2.2.3,Elementary 3x3 Matrices,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.2. Elementary Matrices/Lessons/2.2.3. Elementary 3x3 Matrices.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.2. Elementary Matrices/Source/2.2.3. Elementary 3x3 Matrices
66,2089,PS1.2.2.4,Row Operations on 3x3 Matrices as Products of Elementary Matrices,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.2. Elementary Matrices/Lessons/2.2.4. Row Operations on 3x3 Matrices as Products of Elementary Matrices.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.2. Elementary Matrices/Source/2.2.4. Row Operations on 3x3 Matrices as Products of Elementary Matrices
73,1730,PS1.2.3.1,The Invertible Matrix Theorem in Terms of 2x2 Systems of Equations,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.3. The Inverse of a Matrix/Lessons/2.3.1. The Invertible Matrix Theorem in Terms of 2x2 Systems of Equations.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.3. The Inverse of a Matrix/Source/2.3.1. The Invertible Matrix Theorem in Terms of 2x2 Systems of Equations
67,1728,PS1.2.3.2,Finding the Inverse of a 2x2 Matrix Using Row Operations,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.3. The Inverse of a Matrix/Lessons/2.3.2. Finding the Inverse of a 2x2 Matrix Using Row Operations.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.3. The Inverse of a Matrix/Source/2.3.2. Finding the Inverse of a 2x2 Matrix Using Row Operations
68,1732,PS1.2.3.3,Finding the Inverse of a 3x3 Matrix Using Row Operations,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.3. The Inverse of a Matrix/Lessons/2.3.3. Finding the Inverse of a 3x3 Matrix Using Row Operations.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.3. The Inverse of a Matrix/Source/2.3.3. Finding the Inverse of a 3x3 Matrix Using Row Operations
69,1734,PS1.2.3.4,Finding the Inverse of an NxN Square Matrix Using Row Operations,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.3. The Inverse of a Matrix/Lessons/2.3.4. Finding the Inverse of an NxN Square Matrix Using Row Operations.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.3. The Inverse of a Matrix/Source/2.3.4. Finding the Inverse of an NxN Square Matrix Using Row Operations
66,42,PS1.2.3.5,Matrices With Easy-to-Find Inverses,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.3. The Inverse of a Matrix/Lessons/2.3.5. Matrices With Easy-to-Find Inverses.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.3. The Inverse of a Matrix/Source/2.3.5. Matrices With Easy-to-Find Inverses
63,1769,PS1.2.4.1,The Determinant of an NxN Matrix,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.4. Determinants/Lessons/2.4.1. The Determinant of an NxN Matrix.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.4. Determinants/Source/2.4.1. The Determinant of an NxN Matrix
66,1770,PS1.2.4.2,Finding Determinants Using Laplace Expansions,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.4. Determinants/Lessons/2.4.2. Finding Determinants Using Laplace Expansions.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.4. Determinants/Source/2.4.2. Finding Determinants Using Laplace Expansions
67,1771,PS1.2.4.3,Basic Properties of Determinants,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.4. Determinants/Lessons/2.4.3. Basic Properties of Determinants.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.4. Determinants/Source/2.4.3. Basic Properties of Determinants
70,1774,PS1.2.4.4,Further Properties of Determinants,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.4. Determinants/Lessons/2.4.4. Further Properties of Determinants.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.4. Determinants/Source/2.4.4. Further Properties of Determinants
68,1772,PS1.2.4.5,Row and Column Operations on Determinants,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.4. Determinants/Lessons/2.4.5. Row and Column Operations on Determinants.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.4. Determinants/Source/2.4.5. Row and Column Operations on Determinants
69,2201,PS1.2.4.6,Conditions When a Determinant Equals Zero,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.4. Determinants/Lessons/2.4.6. Conditions When a Determinant Equals Zero.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.4. Determinants/Source/2.4.6. Conditions When a Determinant Equals Zero
69,1773,PS1.2.4.7,Finding Determinants Using Row and Column Operations,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.4. Determinants/Lessons/2.4.7. Finding Determinants Using Row and Column Operations.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.4. Determinants/Source/2.4.7. Finding Determinants Using Row and Column Operations
62,1775,PS1.2.4.8,Cramer's Rule for 2x2 Systems of Linear Equations,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.4. Determinants/Lessons/2.4.8. Cramer's Rule for 2x2 Systems of Linear Equations.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.4. Determinants/Source/2.4.8. Cramer's Rule for 2x2 Systems of Linear Equations
65,1777,PS1.2.5.1,Triangular Matrices,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.5. LU Factorization/Lessons/2.5.1. Triangular Matrices.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.5. LU Factorization/Source/2.5.1. Triangular Matrices
66,1779,PS1.2.5.2,LU Factorization of 2x2 Matrices,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.5. LU Factorization/Lessons/2.5.2. LU Factorization of 2x2 Matrices.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.5. LU Factorization/Source/2.5.2. LU Factorization of 2x2 Matrices
67,1780,PS1.2.5.3,LU Factorization of 3x3 Matrices,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.5. LU Factorization/Lessons/2.5.3. LU Factorization of 3x3 Matrices.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.5. LU Factorization/Source/2.5.3. LU Factorization of 3x3 Matrices
68,1781,PS1.2.5.4,LU Factorization of NxN Matrices,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.5. LU Factorization/Lessons/2.5.4. LU Factorization of NxN Matrices.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.5. LU Factorization/Source/2.5.4. LU Factorization of NxN Matrices
69,1782,PS1.2.5.5,Solving Systems of Equations Using LU Factorization,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.5. LU Factorization/Lessons/2.5.5. Solving Systems of Equations Using LU Factorization.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.5. LU Factorization/Source/2.5.5. Solving Systems of Equations Using LU Factorization
60,1849,PS1.3.1.1,Vectors in N-Dimensional Euclidean Space,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/3. Vector Spaces/3.1. Vectors in N-Dimensional Space/Lessons/3.1.1. Vectors in N-Dimensional Euclidean Space.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/3. Vector Spaces/3.1. Vectors in N-Dimensional Space/Source/3.1.1. Vectors in N-Dimensional Euclidean Space
66,1851,PS1.3.1.2,Linear Combinations of Vectors in N-Dimensional Euclidean Space,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/3. Vector Spaces/3.1. Vectors in N-Dimensional Space/Lessons/3.1.2. Linear Combinations of Vectors in N-Dimensional Euclidean Space.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/3. Vector Spaces/3.1. Vectors in N-Dimensional Space/Source/3.1.2. Linear Combinations of Vectors in N-Dimensional Euclidean Space
