topic-id,topic-name,layer,courses,topic-codes,lesson-paths,source-paths
3706,The Image of an Affine Transformation,67,MML,MML.3.5.2,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/3. Vectors and Matrices/3.5. Affine Transformations/Lessons/3.5.2. The Image of an Affine Transformation.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/3. Vectors and Matrices/3.5. Affine Transformations/Source/3.5.2. The Image of an Affine Transformation
4063,Interiors and Boundaries of Sets,67,MML,MML.1.3.5,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.3. Properties of Sets/Lessons/1.3.5. Interiors and Boundaries of Sets.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.3. Properties of Sets/Source/1.3.5. Interiors and Boundaries of Sets
4255,"The ""And"" and ""Or"" Connectives With Predicates",67,MML,MML.2.2.5,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/2. Logic/2.2. Implications and Biconditionals/Lessons/2.2.5. The -And- and -Or- Connectives With Predicates.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/2. Logic/2.2. Implications and Biconditionals/Source/2.2.5. The -And- and -Or- Connectives With Predicates
4256,"The ""Not"" Connective With Predicates",67,MML,MML.2.2.6,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/2. Logic/2.2. Implications and Biconditionals/Lessons/2.2.6. The -Not- Connective With Predicates.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/2. Logic/2.2. Implications and Biconditionals/Source/2.2.6. The -Not- Connective With Predicates
1732,Finding the Inverse of a 3x3 Matrix Using Row Operations,68,MML,MML.3.4.2,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/3. Vectors and Matrices/3.4. The Inverse of a Matrix/Lessons/3.4.2. Finding the Inverse of a 3x3 Matrix Using Row Operations.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/3. Vectors and Matrices/3.4. The Inverse of a Matrix/Source/3.4.2. Finding the Inverse of a 3x3 Matrix Using Row Operations
1772,Row and Column Operations on Determinants,68,MML,MML.3.2.5,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/3. Vectors and Matrices/3.2. Determinants/Lessons/3.2.5. Row and Column Operations on Determinants.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/3. Vectors and Matrices/3.2. Determinants/Source/3.2.5. Row and Column Operations on Determinants
1792,Tangent Vectors and Tangent Lines to Curves,68,MML,MML.9.3.2,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.3. Vector-Valued Functions/Lessons/9.3.2. Tangent Vectors and Tangent Lines to Curves.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.3. Vector-Valued Functions/Source/9.3.2. Tangent Vectors and Tangent Lines to Curves
1852,Linear Span of Vectors in N-Dimensional Euclidean Space,68,MML,MML.4.1.3,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.1. Vectors in N-Dimensional Space/Lessons/4.1.3. Linear Span of Vectors in N-Dimensional Euclidean Space.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.1. Vectors in N-Dimensional Space/Source/4.1.3. Linear Span of Vectors in N-Dimensional Euclidean Space
1979,Type I and II Regions in Two-Dimensional Space,68,MML,MML.9.7.4,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.7. Double Integrals/Lessons/9.7.4. Type I and II Regions in Two-Dimensional Space.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.7. Double Integrals/Source/9.7.4. Type I and II Regions in Two-Dimensional Space
2094,The Dot Product in N-Dimensional Euclidean Space,68,MML,MML.6.1.1,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/6. Orthogonality & Projections/6.1. Inner Products/Lessons/6.1.1. The Dot Product in N-Dimensional Euclidean Space.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/6. Orthogonality & Projections/6.1. Inner Products/Source/6.1.1. The Dot Product in N-Dimensional Euclidean Space
3835,Defining Abstract Vector Spaces,68,MML,MML.6.1.5,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/6. Orthogonality & Projections/6.1. Inner Products/Lessons/6.1.5. Defining Abstract Vector Spaces.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/6. Orthogonality & Projections/6.1. Inner Products/Source/6.1.5. Defining Abstract Vector Spaces
4077,Subspaces of N-Dimensional Space: Geometric Interpretation,68,MML,MML.4.2.2,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.2. Subspaces of N-Dimensional Space/Lessons/4.2.2. Subspaces of N-Dimensional Space- Geometric Interpretation.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.2. Subspaces of N-Dimensional Space/Source/4.2.2. Subspaces of N-Dimensional Space- Geometric Interpretation
4097,Open and Closed Sets,68,MML,MML.1.3.6,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.3. Properties of Sets/Lessons/1.3.6. Open and Closed Sets.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/1. Set Theory/1.3. Properties of Sets/Source/1.3.6. Open and Closed Sets
4257,Conditional Statements With Predicates,68,MML,MML.2.2.8,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/2. Logic/2.2. Implications and Biconditionals/Lessons/2.2.8. Conditional Statements With Predicates.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/2. Logic/2.2. Implications and Biconditionals/Source/2.2.8. Conditional Statements With Predicates
971,Extending the Law of Total Probability,69,MML,MML.10.1.1,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.1. Probability/Lessons/10.1.1. Extending the Law of Total Probability.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.1. Probability/Source/10.1.1. Extending the Law of Total Probability
1850,The Column Space of a Matrix,69,MML,MML.4.2.3,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.2. Subspaces of N-Dimensional Space/Lessons/4.2.3. The Column Space of a Matrix.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.2. Subspaces of N-Dimensional Space/Source/4.2.3. The Column Space of a Matrix
1854,The Null Space of a Matrix,69,MML,MML.4.2.4,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.2. Subspaces of N-Dimensional Space/Lessons/4.2.4. The Null Space of a Matrix.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.2. Subspaces of N-Dimensional Space/Source/4.2.4. The Null Space of a Matrix
1861,Linear Dependence and Independence,69,MML,MML.4.1.4,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.1. Vectors in N-Dimensional Space/Lessons/4.1.4. Linear Dependence and Independence.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.1. Vectors in N-Dimensional Space/Source/4.1.4. Linear Dependence and Independence
1899,The Domain of a Multivariable Function,69,MML,MML.9.2.1,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.2. Partial Derivatives/Lessons/9.2.1. The Domain of a Multivariable Function.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.2. Partial Derivatives/Source/9.2.1. The Domain of a Multivariable Function
2095,The Norm of a Vector in N-Dimensional Euclidean Space,69,MML,MML.6.1.2,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/6. Orthogonality & Projections/6.1. Inner Products/Lessons/6.1.2. The Norm of a Vector in N-Dimensional Euclidean Space.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/6. Orthogonality & Projections/6.1. Inner Products/Source/6.1.2. The Norm of a Vector in N-Dimensional Euclidean Space
2201,Conditions When a Determinant Equals Zero,69,MML,MML.3.2.6,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/3. Vectors and Matrices/3.2. Determinants/Lessons/3.2.6. Conditions When a Determinant Equals Zero.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/3. Vectors and Matrices/3.2. Determinants/Source/3.2.6. Conditions When a Determinant Equals Zero
3272,Bayes' Theorem,69,MML,MML.10.1.2,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.1. Probability/Lessons/10.1.2. Bayes' Theorem.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.1. Probability/Source/10.1.2. Bayes' Theorem
3707,The Inverse of an Affine Transformation,69,MML,MML.3.5.3,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/3. Vectors and Matrices/3.5. Affine Transformations/Lessons/3.5.3. The Inverse of an Affine Transformation.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/3. Vectors and Matrices/3.5. Affine Transformations/Source/3.5.3. The Inverse of an Affine Transformation
730,Expected Values of Discrete Random Variables,70,MML,MML.10.4.1,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.4. Expectation/Lessons/10.4.1. Expected Values of Discrete Random Variables.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.4. Expectation/Source/10.4.1. Expected Values of Discrete Random Variables
1347,Probability Density Functions of Continuous Random Variables,70,MML,MML.10.2.1,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.2. Random Variables/Lessons/10.2.1. Probability Density Functions of Continuous Random Variables.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.2. Random Variables/Source/10.2.1. Probability Density Functions of Continuous Random Variables
1774,Further Properties of Determinants,70,MML,MML.3.2.4,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/3. Vectors and Matrices/3.2. Determinants/Lessons/3.2.4. Further Properties of Determinants.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/3. Vectors and Matrices/3.2. Determinants/Source/3.2.4. Further Properties of Determinants
1855,Finding a Basis of a Span,70,MML,MML.4.3.1,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.3. Bases of N-Dimensional Space/Lessons/4.3.1. Finding a Basis of a Span.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.3. Bases of N-Dimensional Space/Source/4.3.1. Finding a Basis of a Span
1896,Ellipsoids,70,MML,MML.9.1.1,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.1. Quadric Surfaces and Cylinders/Lessons/9.1.1. Ellipsoids.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.1. Quadric Surfaces and Cylinders/Source/9.1.1. Ellipsoids
1900,Level Curves,70,MML,MML.9.2.2,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.2. Partial Derivatives/Lessons/9.2.2. Level Curves.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.2. Partial Derivatives/Source/9.2.2. Level Curves
1931,Limits and Continuity of Multivariable Functions,70,MML,MML.9.2.4,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.2. Partial Derivatives/Lessons/9.2.4. Limits and Continuity of Multivariable Functions.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.2. Partial Derivatives/Source/9.2.4. Limits and Continuity of Multivariable Functions
1983,Double Summations,70,MML,MML.11.1.1,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/11. Combining Random Variables/11.1. Distributions of Two Discrete Random Variables/Lessons/11.1.1. Double Summations.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/11. Combining Random Variables/11.1. Distributions of Two Discrete Random Variables/Source/11.1.1. Double Summations
2099,Orthogonal Vectors in Euclidean Spaces,70,MML,MML.6.2.1,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/6. Orthogonality & Projections/6.2. Orthogonality/Lessons/6.2.1. Orthogonal Vectors in Euclidean Spaces.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/6. Orthogonality & Projections/6.2. Orthogonality/Source/6.2.1. Orthogonal Vectors in Euclidean Spaces
2101,The Cauchy-Schwarz Inequality and the Angle Between Two Vectors,70,MML,MML.6.2.2,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/6. Orthogonality & Projections/6.2. Orthogonality/Lessons/6.2.2. The Cauchy-Schwarz Inequality and the Angle Between Two Vectors.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/6. Orthogonality & Projections/6.2. Orthogonality/Source/6.2.2. The Cauchy-Schwarz Inequality and the Angle Between Two Vectors
2539,The Intersection of Two Planes,70,MML,MML.3.1.7,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/3. Vectors and Matrices/3.1. Vector Geometry/Lessons/3.1.7. The Intersection of Two Planes.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/3. Vectors and Matrices/3.1. Vector Geometry/Source/3.1.7. The Intersection of Two Planes
2613,Approximating Volumes Using Lower Riemann Sums,70,MML,MML.9.6.3,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.6. Approximating Volumes With Riemann Sums/Lessons/9.6.3. Approximating Volumes Using Lower Riemann Sums.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.6. Approximating Volumes With Riemann Sums/Source/9.6.3. Approximating Volumes Using Lower Riemann Sums
2614,Approximating Volumes Using Upper Riemann Sums,70,MML,MML.9.6.4,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.6. Approximating Volumes With Riemann Sums/Lessons/9.6.4. Approximating Volumes Using Upper Riemann Sums.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.6. Approximating Volumes With Riemann Sums/Source/9.6.4. Approximating Volumes Using Upper Riemann Sums
3001,Joint Distributions for Discrete Random Variables,70,MML,MML.11.1.2,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/11. Combining Random Variables/11.1. Distributions of Two Discrete Random Variables/Lessons/11.1.2. Joint Distributions for Discrete Random Variables.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/11. Combining Random Variables/11.1. Distributions of Two Discrete Random Variables/Source/11.1.2. Joint Distributions for Discrete Random Variables
3282,The Poisson Distribution,70,MML,MML.10.5.8,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.5. Discrete Probability Distributions/Lessons/10.5.8. The Poisson Distribution.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.5. Discrete Probability Distributions/Source/10.5.8. The Poisson Distribution
3286,Extending Bayes' Theorem,70,MML,MML.10.1.3,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.1. Probability/Lessons/10.1.3. Extending Bayes' Theorem.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.1. Probability/Source/10.1.3. Extending Bayes' Theorem
1856,Finding a Basis of the Null Space of a Matrix,71,MML,MML.4.3.3,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.3. Bases of N-Dimensional Space/Lessons/4.3.3. Finding a Basis of the Null Space of a Matrix.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.3. Bases of N-Dimensional Space/Source/4.3.3. Finding a Basis of the Null Space of a Matrix
1864,Expressing the Coordinates of a Vector in a Given Basis,71,MML,MML.4.3.4,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.3. Bases of N-Dimensional Space/Lessons/4.3.4. Expressing the Coordinates of a Vector in a Given Basis.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.3. Bases of N-Dimensional Space/Source/4.3.4. Expressing the Coordinates of a Vector in a Given Basis
1866,The Dimension of a Span,71,MML,MML.4.4.1,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.4. Dimension and Rank in N-Dimensional Space/Lessons/4.4.1. The Dimension of a Span.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.4. Dimension and Rank in N-Dimensional Space/Source/4.4.1. The Dimension of a Span
1892,Hyperboloids,71,MML,MML.9.1.2,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.1. Quadric Surfaces and Cylinders/Lessons/9.1.2. Hyperboloids.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.1. Quadric Surfaces and Cylinders/Source/9.1.2. Hyperboloids
1893,Paraboloids,71,MML,MML.9.1.3,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.1. Quadric Surfaces and Cylinders/Lessons/9.1.3. Paraboloids.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.1. Quadric Surfaces and Cylinders/Source/9.1.3. Paraboloids
1894,Elliptic Cones,71,MML,MML.9.1.4,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.1. Quadric Surfaces and Cylinders/Lessons/9.1.4. Elliptic Cones.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.1. Quadric Surfaces and Cylinders/Source/9.1.4. Elliptic Cones
1895,Cylinders,71,MML,MML.9.1.5,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.1. Quadric Surfaces and Cylinders/Lessons/9.1.5. Cylinders.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.1. Quadric Surfaces and Cylinders/Source/9.1.5. Cylinders
1929,Introduction to Partial Derivatives,71,MML,MML.9.2.5,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.2. Partial Derivatives/Lessons/9.2.5. Introduction to Partial Derivatives.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.2. Partial Derivatives/Source/9.2.5. Introduction to Partial Derivatives
1992,Double Integrals Over Rectangular Domains,71,MML,MML.9.7.1,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.7. Double Integrals/Lessons/9.7.1. Double Integrals Over Rectangular Domains.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.7. Double Integrals/Source/9.7.1. Double Integrals Over Rectangular Domains
2102,Orthogonal Complements,71,MML,MML.6.2.3,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/6. Orthogonality & Projections/6.2. Orthogonality/Lessons/6.2.3. Orthogonal Complements.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/6. Orthogonality & Projections/6.2. Orthogonality/Source/6.2.3. Orthogonal Complements
2615,Lower Riemann Sums Over General Rectangular Partitions,71,MML,MML.9.6.5,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.6. Approximating Volumes With Riemann Sums/Lessons/9.6.5. Lower Riemann Sums Over General Rectangular Partitions.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.6. Approximating Volumes With Riemann Sums/Source/9.6.5. Lower Riemann Sums Over General Rectangular Partitions
2623,Finding a Basis of the Column Space of a Matrix,71,MML,MML.4.3.2,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.3. Bases of N-Dimensional Space/Lessons/4.3.2. Finding a Basis of the Column Space of a Matrix.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.3. Bases of N-Dimensional Space/Source/4.3.2. Finding a Basis of the Column Space of a Matrix
3002,Marginal Distributions for Discrete Random Variables,71,MML,MML.11.1.3,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/11. Combining Random Variables/11.1. Distributions of Two Discrete Random Variables/Lessons/11.1.3. Marginal Distributions for Discrete Random Variables.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/11. Combining Random Variables/11.1. Distributions of Two Discrete Random Variables/Source/11.1.3. Marginal Distributions for Discrete Random Variables
3004,The Joint CDF of Two Discrete Random Variables,71,MML,MML.11.1.6,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/11. Combining Random Variables/11.1. Distributions of Two Discrete Random Variables/Lessons/11.1.6. The Joint CDF of Two Discrete Random Variables.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/11. Combining Random Variables/11.1. Distributions of Two Discrete Random Variables/Source/11.1.6. The Joint CDF of Two Discrete Random Variables
3270,The CDF of the Binomial Distribution,71,MML,MML.10.5.3,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.5. Discrete Probability Distributions/Lessons/10.5.3. The CDF of the Binomial Distribution.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.5. Discrete Probability Distributions/Source/10.5.3. The CDF of the Binomial Distribution
3274,The CDF of the Poisson Distribution,71,MML,MML.10.5.10,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.5. Discrete Probability Distributions/Lessons/10.5.10. The CDF of the Poisson Distribution.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.5. Discrete Probability Distributions/Source/10.5.10. The CDF of the Poisson Distribution
3631,One-to-One Transformations of Discrete Random Variables,71,MML,MML.10.3.1,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.3. Transformations of Random Variables/Lessons/10.3.1. One-to-One Transformations of Discrete Random Variables.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.3. Transformations of Random Variables/Source/10.3.1. One-to-One Transformations of Discrete Random Variables
3696,Upper Riemann Sums Over General Rectangular Partitions,71,MML,MML.9.6.6,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.6. Approximating Volumes With Riemann Sums/Lessons/9.6.6. Upper Riemann Sums Over General Rectangular Partitions.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.6. Approximating Volumes With Riemann Sums/Source/9.6.6. Upper Riemann Sums Over General Rectangular Partitions
3698,Calculating Double Summations Over Partitions,71,MML,MML.9.6.2,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.6. Approximating Volumes With Riemann Sums/Lessons/9.6.2. Calculating Double Summations Over Partitions.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.6. Approximating Volumes With Riemann Sums/Source/9.6.2. Calculating Double Summations Over Partitions
4043,Calculating Probabilities With Continuous Random Variables,71,MML,MML.10.2.2,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.2. Random Variables/Lessons/10.2.2. Calculating Probabilities With Continuous Random Variables.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.2. Random Variables/Source/10.2.2. Calculating Probabilities With Continuous Random Variables
1395,Modeling With the Binomial Distribution,72,MML,MML.10.5.2,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.5. Discrete Probability Distributions/Lessons/10.5.2. Modeling With the Binomial Distribution.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.5. Discrete Probability Distributions/Source/10.5.2. Modeling With the Binomial Distribution
1865,Writing Vectors in Different Bases,72,MML,MML.4.3.5,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.3. Bases of N-Dimensional Space/Lessons/4.3.5. Writing Vectors in Different Bases.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.3. Bases of N-Dimensional Space/Source/4.3.5. Writing Vectors in Different Bases
1867,The Rank of a Matrix,72,MML,MML.4.4.2,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.4. Dimension and Rank in N-Dimensional Space/Lessons/4.4.2. The Rank of a Matrix.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/4. Vector Spaces/4.4. Dimension and Rank in N-Dimensional Space/Source/4.4.2. The Rank of a Matrix
1898,Identifying Quadric Surfaces,72,MML,MML.9.1.7,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.1. Quadric Surfaces and Cylinders/Lessons/9.1.7. Identifying Quadric Surfaces.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.1. Quadric Surfaces and Cylinders/Source/9.1.7. Identifying Quadric Surfaces
1990,Defining Double Integrals Using Lower and Upper Riemann Sums,72,MML,MML.9.6.7,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.6. Approximating Volumes With Riemann Sums/Lessons/9.6.7. Defining Double Integrals Using Lower and Upper Riemann Sums.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.6. Approximating Volumes With Riemann Sums/Source/9.6.7. Defining Double Integrals Using Lower and Upper Riemann Sums
2103,Orthogonal Sets in Euclidean Spaces,72,MML,MML.6.2.4,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/6. Orthogonality & Projections/6.2. Orthogonality/Lessons/6.2.4. Orthogonal Sets in Euclidean Spaces.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/6. Orthogonality & Projections/6.2. Orthogonality/Source/6.2.4. Orthogonal Sets in Euclidean Spaces
2122,Projecting Vectors Onto One-Dimensional Subspaces,72,MML,MML.6.3.1,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/6. Orthogonality & Projections/6.3. Orthogonal Projections/Lessons/6.3.1. Projecting Vectors Onto One-Dimensional Subspaces.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/6. Orthogonality & Projections/6.3. Orthogonal Projections/Source/6.3.1. Projecting Vectors Onto One-Dimensional Subspaces
2616,Double Integrals Over Non-Rectangular Domains,72,MML,MML.9.7.2,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.7. Double Integrals/Lessons/9.7.2. Double Integrals Over Non-Rectangular Domains.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/9. Multivariable Calculus/9.7. Double Integrals/Source/9.7.2. Double Integrals Over Non-Rectangular Domains
2836,Properties of Expectation for Discrete Random Variables,72,MML,MML.10.4.2,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.4. Expectation/Lessons/10.4.2. Properties of Expectation for Discrete Random Variables.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.4. Expectation/Source/10.4.2. Properties of Expectation for Discrete Random Variables
2915,"Euclidean, Manhattan, and Minkowski Distance",72,MML,MML.6.1.3,"vault/MA/Mathematical-Methods-for-Machine-Learning/MML/6. Orthogonality & Projections/6.1. Inner Products/Lessons/6.1.3. Euclidean, Manhattan, and Minkowski Distance.md","vault/MA/Mathematical-Methods-for-Machine-Learning/MML/6. Orthogonality & Projections/6.1. Inner Products/Source/6.1.3. Euclidean, Manhattan, and Minkowski Distance"
3010,The Discrete Uniform Distribution,72,MML,MML.10.5.5,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.5. Discrete Probability Distributions/Lessons/10.5.5. The Discrete Uniform Distribution.md,vault/MA/Mathematical-Methods-for-Machine-Learning/MML/10. Probability & Random Variables/10.5. Discrete Probability Distributions/Source/10.5.5. The Discrete Uniform Distribution
