done,sequence,topic-id,topic-name,course-code,topic-code,topic-number,unit,module,layer,min-steps-to-334,max-steps-to-334,direct-prerequisite-ids
0,59,3968,Multiplying Fractions by Whole Numbers Using Models,4GM,4GM.6.7.2,6.7.2,6. Fractions & Decimals,6.7. Multiplying Fractions,7,13,37,564
0,60,544,Subtracting Fractions and Whole Numbers Using Models,5GM,5GM.3.1.3,3.1.3,3. Adding & Subtracting Fractions,3.1. Adding and Subtracting Fractions and Whole Numbers,7,15,37,543
0,61,528,Dividing Unit Fractions by Whole Numbers Using Models,5GM,5GM.4.2.4,4.2.4,4. Multiplying & Dividing Fractions,4.2. Dividing Fractions,7,12,34,564
0,62,3913,Adding Numbers Up to Seven Digits,4GM,4GM.3.1.5,3.1.5,3. Addition & Subtraction,3.1. Adding Whole Numbers,8,14,49,3912
0,63,3907,Subtracting Three-Digit Numbers,4GM,4GM.3.2.3,3.2.3,3. Addition & Subtraction,3.2. Subtracting Whole Numbers,8,15,43,3906
0,64,2415,Two-Digit by One-Digit Multiplication Using Area Models,4GM,4GM.4.3.1,4.3.1,4. Multiplication,4.3. Multiplying Whole Numbers Using Models,8,14,46,122;488;3910
0,65,3886,Dividing Numbers Using Place-Value Strategies,4GM,4GM.5.1.9,5.1.9,5. Division,5.1. Dividing Whole Numbers,8,15,43,3923;3924
0,66,2322,Multiplying Numbers by Powers of Ten Using Place Value,5GM,5GM.2.1.1,2.1.1,2. Multiplying & Dividing Whole Numbers,2.1. Multiplying Whole Numbers,8,13,41,2313
0,67,565,Multiplying Fractions by Unit Fractions Using Models,5GM,5GM.4.1.1,4.1.1,4. Multiplying & Dividing Fractions,4.1. Multiplying Fractions,8,13,36,3968
0,68,2436,Dividing Fractions by Whole Numbers Using Models,6GM,6GM.3.1.3,3.1.3,3. The Number System- Dividing Fractions,3.1. Dividing Fractions and Whole Numbers,8,11,33,528
0,69,3881,Adding Three Multi-Digit Numbers,4GM,4GM.3.1.6,3.1.6,3. Addition & Subtraction,3.1. Adding Whole Numbers,9,13,48,3913
0,70,3908,Subtracting Numbers Up to Five Digits,4GM,4GM.3.2.4,3.2.4,3. Addition & Subtraction,3.2. Subtracting Whole Numbers,9,15,42,3890;3907
0,71,2416,Two-Digit by One-Digit Multiplication Using Place Value,4GM,4GM.4.3.3,4.3.3,4. Multiplication,4.3. Multiplying Whole Numbers Using Models,9,13,45,2415
0,72,3079,Multiplying Fractions Using Models,5GM,5GM.4.1.2,4.1.2,4. Multiplying & Dividing Fractions,4.1. Multiplying Fractions,9,12,35,565
0,73,3909,Subtracting Numbers Up to Seven Digits,4GM,4GM.3.2.5,3.2.5,3. Addition & Subtraction,3.2. Subtracting Whole Numbers,10,18,38,3908
0,74,2206,The Multiples of a Number,4GM,4GM.4.1.4,4.1.4,4. Multiplication,"4.1. Factors, Products, and Multiples",10,12,47,3881;3942
0,75,2393,Multi-Digit by One-Digit Multiplication Using Area Models,4GM,4GM.4.3.2,4.3.2,4. Multiplication,4.3. Multiplying Whole Numbers Using Models,10,14,45,2415;3881
0,76,2418,Two-Digit by Two-Digit Multiplication Using Area Models,4GM,4GM.4.3.5,4.3.5,4. Multiplication,4.3. Multiplying Whole Numbers Using Models,10,14,40,2415;3881
0,77,2392,Two-Digit by One-Digit Multiplication,5GM,5GM.2.1.2,2.1.2,2. Multiplying & Dividing Whole Numbers,2.1. Multiplying Whole Numbers,10,12,39,2416
0,78,3883,Rounding Down Whole Numbers,4GM,4GM.2.2.4,2.2.4,2. The Number System,2.2. Comparing Whole Numbers,11,11,40,2206;2338;3919
0,79,2440,Least Common Multiples,4GM,4GM.4.1.5,4.1.5,4. Multiplication,"4.1. Factors, Products, and Multiples",11,17,39,2206
0,80,3935,Connecting Factors and Multiples,4GM,4GM.4.1.6,4.1.6,4. Multiplication,"4.1. Factors, Products, and Multiples",11,17,36,2206
0,81,3878,Multiplying Numbers Using Repeated Addition,4GM,4GM.4.2.5,4.2.5,4. Multiplication,4.2. Multiplying Whole Numbers,11,15,42,488;2206
