row-order,course,course-code,course-profile-mastery-percent,unit,module,topic-id,topic-code,topic-number,topic-name,course-map-index,layer,profile-role,relation-to-334,pre-334-order,min-steps-to-334,max-steps-to-334,direct-prerequisite-ids,direct-profile-topic-ids,estimated-remaining-topic-weight,completed,last-completed-at,mastery-status,mastery-evidence,queue-position,queue-course,queue-prerequisite-for
167,Calculus I,CA1,32,8. Integration,8.1. Indefinite Integrals,308,CA1.8.1.1,8.1.1,The Antiderivative,142,53,calculus-ii-prerequisite,blocker,347,3,3,35,35,0.00,1,2026-07-24 20:54,completed,activity-history,,,
168,Calculus I,CA1,32,8. Integration,8.1. Indefinite Integrals,43,CA1.8.1.2,8.1.2,The Constant Multiple Rule for Indefinite Integrals,143,54,calculus-ii-prerequisite,blocker,349,2,2,278;308,278;308,0.00,1,2026-07-24 21:24,completed,activity-history,,,
169,Calculus I,CA1,32,8. Integration,8.1. Indefinite Integrals,3769,CA1.8.1.3,8.1.3,The Sum Rule for Indefinite Integrals,144,55,calculus-ii-prerequisite,blocker,351,1,1,43,43,0.68,0,,unresolved,,,,
170,Calculus I,CA1,32,8. Integration,8.1. Indefinite Integrals,1361,CA1.8.1.4,8.1.4,Integrating the Reciprocal Function,145,57,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,30;1116;3769,1116;3769,0.68,0,,unresolved,,,,
171,Calculus I,CA1,32,8. Integration,8.1. Indefinite Integrals,312,CA1.8.1.5,8.1.5,Integrating Exponential Functions,146,58,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1361,1361,0.68,0,,unresolved,,,,
172,Calculus I,CA1,32,8. Integration,8.1. Indefinite Integrals,285,CA1.8.1.6,8.1.6,Integrating Trigonometric Functions,147,60,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1686;3769,1686;3769,0.68,0,,unresolved,,,,
173,Calculus I,CA1,32,8. Integration,8.1. Indefinite Integrals,342,CA1.8.1.7,8.1.7,Integration Using Inverse Trigonometric Functions,148,65,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1721;2883;3769,1721;3769,0.68,0,,unresolved,,,,
174,Calculus I,CA1,32,8. Integration,8.1. Indefinite Integrals,304,CA1.8.1.8,8.1.8,Integrating Hyperbolic Functions,149,64,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,3251;3769,3251;3769,0.68,0,,unresolved,,,,
175,Calculus I,CA1,32,8. Integration,8.1. Indefinite Integrals,3253,CA1.8.1.9,8.1.9,Integration Using Inverse Hyperbolic Functions,150,66,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,304;342;3252,304;342;3252,0.68,0,,unresolved,,,,
176,Calculus I,CA1,32,8. Integration,8.1. Indefinite Integrals,3256,CA1.8.1.10,8.1.10,Integration Using Inverse Reciprocal Hyperbolic Functions,151,67,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,3253;3255,3253;3255,0.68,0,,unresolved,,,,
177,Calculus I,CA1,32,8. Integration,8.2. Approximating Areas with Riemann Sums,477,CA1.8.2.1,8.2.1,Approximating Areas With the Left Riemann Sum,152,46,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,84;1352;1628,,0.68,0,,unresolved,,,,
178,Calculus I,CA1,32,8. Integration,8.2. Approximating Areas with Riemann Sums,1281,CA1.8.2.2,8.2.2,Approximating Areas With the Right Riemann Sum,153,46,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,84;1352;1628,,0.68,0,,unresolved,,,,
179,Calculus I,CA1,32,8. Integration,8.3. Definite Integrals,283,CA1.8.3.2,8.3.2,The Fundamental Theorem of Calculus,160,65,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,308;2006,308;2006,0.68,0,,unresolved,,,,
180,Calculus I,CA1,32,8. Integration,8.3. Definite Integrals,3575,CA1.8.3.3,8.3.3,Applying the Fundamental Theorem of Calculus to Exponential and Trigonometric Functions,161,66,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,283;285;312,283;285;312,0.68,0,,unresolved,,,,
181,Calculus I,CA1,32,8. Integration,8.3. Definite Integrals,1685,CA1.8.3.4,8.3.4,The Sum and Constant Multiple Rules for Definite Integrals,162,67,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,342;3575,342;3575,0.68,0,,unresolved,,,,
182,Calculus I,CA1,32,8. Integration,8.3. Definite Integrals,632,CA1.8.3.5,8.3.5,Properties of Definite Integrals Involving the Limits of Integration,163,68,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1685,1685,0.68,0,,unresolved,,,,
183,Calculus I,CA1,32,8. Integration,8.4. The Area Under a Curve,1040,CA1.8.4.1,8.4.1,The Area Bounded by a Curve and the X-Axis,164,68,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,342;1685,342;1685,0.68,0,,unresolved,,,,
184,Calculus I,CA1,32,8. Integration,8.4. The Area Under a Curve,2975,CA1.8.4.2,8.4.2,Evaluating Definite Integrals Using Symmetry,165,69,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,632;1040,632;1040,0.68,0,,unresolved,,,,
185,Calculus I,CA1,32,8. Integration,8.4. The Area Under a Curve,1432,CA1.8.4.3,8.4.3,Finding the Area Between a Curve and the X-Axis When They Intersect,166,69,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,660;1040;1587;2049;3748,1040,0.68,0,,unresolved,,,,
186,Calculus I,CA1,32,8. Integration,8.4. The Area Under a Curve,1041,CA1.8.4.4,8.4.4,The Area Bounded by a Curve and the Y-Axis,167,70,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1432,1432,0.68,0,,unresolved,,,,
187,Calculus I,CA1,32,8. Integration,8.4. The Area Under a Curve,1200,CA1.8.4.5,8.4.5,Calculating the Definite Integral of a Function Given Its Graph,168,69,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,632;1040;1353;1745,632;1040,0.68,0,,unresolved,,,,
188,Calculus I,CA1,32,8. Integration,8.4. The Area Under a Curve,626,CA1.8.4.7,8.4.7,Definite Integrals of Piecewise Functions,170,70,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1200,1200,0.68,0,,unresolved,,,,
189,Calculus I,CA1,32,8. Integration,8.5. Accumulation Functions,333,CA1.8.5.1,8.5.1,The Integral as an Accumulation Function,171,70,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1200,1200,0.68,0,,unresolved,,,,
190,Calculus I,CA1,32,8. Integration,8.5. Accumulation Functions,613,CA1.8.5.2,8.5.2,The Second Fundamental Theorem of Calculus,172,71,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,333,333,0.68,0,,unresolved,,,,
191,Calculus II,CA2,5,1. Integration Techniques,1.1. Integration Using Substitution,334,CA2.1.1.1,1.1.1,Integrating Algebraic Functions Using Substitution,1,57,calculus-ii-topic,target,20,0,0,1108;3769,1108;3769,0.95,0,,unresolved,,,,
192,Calculus II,CA2,5,1. Integration Techniques,1.1. Integration Using Substitution,331,CA2.1.1.2,1.1.2,Integrating Linear Rational Functions Using Substitution,2,58,calculus-ii-topic,later-calculus-ii-topic,,,,334;1361,334;1361,0.95,0,,unresolved,,,,
193,Calculus II,CA2,5,1. Integration Techniques,1.1. Integration Using Substitution,443,CA2.1.1.3,1.1.3,Integration Using Substitution,3,59,calculus-ii-topic,later-calculus-ii-topic,,,,331,331,0.95,0,,unresolved,,,,
194,Calculus II,CA2,5,1. Integration Techniques,1.1. Integration Using Substitution,1159,CA2.1.1.4,1.1.4,Calculating Definite Integrals Using Substitution,4,68,calculus-ii-topic,later-calculus-ii-topic,,,,443;1685,443;1685,0.95,0,,unresolved,,,,
195,Calculus II,CA2,5,1. Integration Techniques,1.1. Integration Using Substitution,316,CA2.1.1.5,1.1.5,Further Integration of Algebraic Functions Using Substitution,5,69,calculus-ii-topic,later-calculus-ii-topic,,,,1159,1159,0.95,0,,unresolved,,,,
196,Calculus II,CA2,5,1. Integration Techniques,1.1. Integration Using Substitution,1112,CA2.1.1.6,1.1.6,Integrating Exponential Functions Using Linear Substitution,6,69,calculus-ii-topic,later-calculus-ii-topic,,,,312;334;1159,312;334;1159,0.95,0,,unresolved,,,,
197,Calculus II,CA2,5,1. Integration Techniques,1.1. Integration Using Substitution,3770,CA2.1.1.7,1.1.7,Integrating Exponential Functions Using Substitution,7,70,calculus-ii-topic,later-calculus-ii-topic,,,,1112,1112,0.95,0,,unresolved,,,,
198,Calculus II,CA2,5,1. Integration Techniques,1.1. Integration Using Substitution,478,CA2.1.1.8,1.1.8,Integrating Trigonometric Functions Using Substitution,8,69,calculus-ii-topic,later-calculus-ii-topic,,,,1159,1159,0.95,0,,unresolved,,,,
199,Calculus II,CA2,5,1. Integration Techniques,1.1. Integration Using Substitution,1161,CA2.1.1.9,1.1.9,Integrating Logarithmic Functions Using Substitution,9,69,calculus-ii-topic,later-calculus-ii-topic,,,,1159,1159,0.95,0,,unresolved,,,,
200,Calculus II,CA2,5,1. Integration Techniques,1.1. Integration Using Substitution,315,CA2.1.1.10,1.1.10,Integration by Substitution With Inverse Trigonometric Functions,10,69,calculus-ii-topic,later-calculus-ii-topic,,,,209;1159,209;1159,0.95,0,,unresolved,,,,
201,Calculus II,CA2,5,1. Integration Techniques,1.1. Integration Using Substitution,3257,CA2.1.1.11,1.1.11,Integrating Hyperbolic Functions Using Substitution,11,70,calculus-ii-topic,later-calculus-ii-topic,,,,304;478,304;478,0.95,0,,unresolved,,,,
202,Calculus II,CA2,5,1. Integration Techniques,1.1. Integration Using Substitution,3258,CA2.1.1.12,1.1.12,Integration by Substitution With Inverse Hyperbolic Functions,12,70,calculus-ii-topic,later-calculus-ii-topic,,,,315;3253,315;3253,0.95,0,,unresolved,,,,
203,Calculus II,CA2,5,1. Integration Techniques,1.1. Integration Using Substitution,3259,CA2.1.1.13,1.1.13,Integration by Substitution With Inverse Reciprocal Hyperbolic Functions,13,71,calculus-ii-topic,later-calculus-ii-topic,,,,3256;3258,3256;3258,0.95,0,,unresolved,,,,
204,Calculus II,CA2,5,1. Integration Techniques,1.2. Special Techniques for Integration,338,CA2.1.2.1,1.2.1,Integrating Functions Using Polynomial Division,14,69,calculus-ii-topic,later-calculus-ii-topic,,,,728;1159,1159,0.95,0,,unresolved,,,,
205,Calculus II,CA2,5,1. Integration Techniques,1.2. Special Techniques for Integration,444,CA2.1.2.2,1.2.2,Integrating Functions by Completing the Square,15,70,calculus-ii-topic,later-calculus-ii-topic,,,,315;3824,315,0.95,0,,unresolved,,,,
206,Calculus II,CA2,5,1. Integration Techniques,1.2. Special Techniques for Integration,3263,CA2.1.2.3,1.2.3,Integration Using Hyperbolic Functions and Completing the Square,16,71,calculus-ii-topic,later-calculus-ii-topic,,,,444;3258,444;3258,0.95,0,,unresolved,,,,
207,Calculus II,CA2,5,1. Integration Techniques,1.2. Special Techniques for Integration,3264,CA2.1.2.4,1.2.4,Integration Using Inverse Reciprocal Hyperbolic Functions and Completing the Square,17,72,calculus-ii-topic,later-calculus-ii-topic,,,,3259;3263,3259;3263,0.95,0,,unresolved,,,,
208,Calculus II,CA2,5,1. Integration Techniques,1.3. Integration Using Trigonometric Identities,282,CA2.1.3.1,1.3.1,Integration Using Basic Trigonometric Identities,18,70,calculus-ii-topic,later-calculus-ii-topic,,,,203;478,203;478,0.95,0,,unresolved,,,,
209,Calculus II,CA2,5,1. Integration Techniques,1.3. Integration Using Trigonometric Identities,1037,CA2.1.3.2,1.3.2,Integration Using the Pythagorean Identities,19,71,calculus-ii-topic,later-calculus-ii-topic,,,,282;1455;3857,282;1455;3857,0.95,0,,unresolved,,,,
210,Calculus II,CA2,5,1. Integration Techniques,1.3. Integration Using Trigonometric Identities,1038,CA2.1.3.3,1.3.3,Integration Using the Double-Angle Formulas,20,72,calculus-ii-topic,later-calculus-ii-topic,,,,271;831;1037,271;831;1037,0.95,0,,unresolved,,,,
211,Calculus II,CA2,5,1. Integration Techniques,1.3. Integration Using Trigonometric Identities,3224,CA2.1.3.4,1.3.4,Integrating Products of Trigonometric Functions,21,71,calculus-ii-topic,later-calculus-ii-topic,,,,270;274;282,270;274;282,0.95,0,,unresolved,,,,
212,Calculus II,CA2,5,1. Integration Techniques,1.4. Integration Using Hyperbolic Identities,3260,CA2.1.4.1,1.4.1,Integration Using Basic Hyperbolic Identities,22,70,calculus-ii-topic,later-calculus-ii-topic,,,,304;478;1454;1455,304;478;1454;1455,0.95,0,,unresolved,,,,
213,Calculus II,CA2,5,1. Integration Techniques,1.4. Integration Using Hyperbolic Identities,3261,CA2.1.4.2,1.4.2,Integration Using the Hyperbolic Pythagorean Identities,23,72,calculus-ii-topic,later-calculus-ii-topic,,,,1037;3260,1037;3260,0.95,0,,unresolved,,,,
214,Calculus II,CA2,5,1. Integration Techniques,1.4. Integration Using Hyperbolic Identities,3262,CA2.1.4.3,1.4.3,Integration Using the Hyperbolic Double-Angle Formulas,24,73,calculus-ii-topic,later-calculus-ii-topic,,,,1038;3260,1038;3260,0.95,0,,unresolved,,,,
215,Calculus II,CA2,5,1. Integration Techniques,1.5. Integration by Parts,317,CA2.1.5.1,1.5.1,Introduction to Integration by Parts,25,71,calculus-ii-topic,later-calculus-ii-topic,,,,478;3770,478;3770,0.95,0,,unresolved,,,,
216,Calculus II,CA2,5,1. Integration Techniques,1.5. Integration by Parts,1140,CA2.1.5.2,1.5.2,Using Integration by Parts to Calculate Integrals With Logarithms,26,72,calculus-ii-topic,later-calculus-ii-topic,,,,317,317,0.95,0,,unresolved,,,,
217,Calculus II,CA2,5,1. Integration Techniques,1.5. Integration by Parts,416,CA2.1.5.3,1.5.3,Applying the Integration By Parts Twice,27,73,calculus-ii-topic,later-calculus-ii-topic,,,,1140,1140,0.95,0,,unresolved,,,,
218,Calculus II,CA2,5,1. Integration Techniques,1.5. Integration by Parts,1141,CA2.1.5.4,1.5.4,The Tabular Method of Integration by Parts,28,74,calculus-ii-topic,later-calculus-ii-topic,,,,416,416,0.95,0,,unresolved,,,,
219,Calculus II,CA2,5,1. Integration Techniques,1.5. Integration by Parts,424,CA2.1.5.5,1.5.5,Integration by Parts in Cyclic Cases,29,74,calculus-ii-topic,later-calculus-ii-topic,,,,305;416;1036,305;416;1036,0.95,0,,unresolved,,,,
220,Calculus II,CA2,5,1. Integration Techniques,1.6. Integration Using Partial Fractions,1060,CA2.1.6.1,1.6.1,Expressing Rational Functions as Sums of Partial Fractions,30,48,calculus-ii-topic,later-calculus-ii-topic,,,,708,708,0.95,0,,unresolved,,,,
221,Calculus II,CA2,5,1. Integration Techniques,1.6. Integration Using Partial Fractions,1062,CA2.1.6.2,1.6.2,Expressing Rational Functions with Repeated Factors as Sums of Partial Fractions,31,49,calculus-ii-topic,later-calculus-ii-topic,,,,487;1060,1060,0.95,0,,unresolved,,,,
222,Calculus II,CA2,5,1. Integration Techniques,1.6. Integration Using Partial Fractions,1063,CA2.1.6.3,1.6.3,Expressing Rational Functions with Irreducible Quadratic Factors as Sums of Partial Fractions,32,49,calculus-ii-topic,later-calculus-ii-topic,,,,1060,1060,0.95,0,,unresolved,,,,
223,Calculus II,CA2,5,1. Integration Techniques,1.6. Integration Using Partial Fractions,445,CA2.1.6.4,1.6.4,Integrating Rational Functions Using Partial Fractions,33,69,calculus-ii-topic,later-calculus-ii-topic,,,,1060;1159,1060;1159,0.95,0,,unresolved,,,,
224,Calculus II,CA2,5,1. Integration Techniques,1.6. Integration Using Partial Fractions,446,CA2.1.6.5,1.6.5,Integrating Rational Functions with Repeated Factors,34,70,calculus-ii-topic,later-calculus-ii-topic,,,,445;1062,445;1062,0.95,0,,unresolved,,,,
225,Calculus II,CA2,5,1. Integration Techniques,1.6. Integration Using Partial Fractions,447,CA2.1.6.6,1.6.6,Integrating Rational Functions with Irreducible Quadratic Factors,35,70,calculus-ii-topic,later-calculus-ii-topic,,,,315;445;1063,315;445;1063,0.95,0,,unresolved,,,,
226,Calculus II,CA2,5,1. Integration Techniques,1.7. Improper Integrals,758,CA2.1.7.1,1.7.1,Improper Integrals,36,69,calculus-ii-topic,later-calculus-ii-topic,,,,1159,1159,0.95,0,,unresolved,,,,
227,Calculus II,CA2,5,1. Integration Techniques,1.7. Improper Integrals,4004,CA2.1.7.2,1.7.2,Improper Integrals Involving Exponential Functions,37,71,calculus-ii-topic,later-calculus-ii-topic,,,,758;3770,758;3770,0.95,0,,unresolved,,,,
228,Calculus II,CA2,5,1. Integration Techniques,1.7. Improper Integrals,4005,CA2.1.7.3,1.7.3,Improper Integrals Involving Arctangent,38,70,calculus-ii-topic,later-calculus-ii-topic,,,,315;758;3811,315;758;3811,0.95,0,,unresolved,,,,
229,Calculus II,CA2,5,1. Integration Techniques,1.7. Improper Integrals,1382,CA2.1.7.4,1.7.4,Improper Integrals Over the Real Line,39,72,calculus-ii-topic,later-calculus-ii-topic,,,,1040;4004;4005,1040;4004;4005,0.95,0,,unresolved,,,,
230,Calculus II,CA2,5,1. Integration Techniques,1.7. Improper Integrals,759,CA2.1.7.5,1.7.5,Improper Integrals of the Second Kind,40,71,calculus-ii-topic,later-calculus-ii-topic,,,,315;478;3770,315;478;3770,0.95,0,,unresolved,,,,
231,Calculus II,CA2,5,1. Integration Techniques,1.7. Improper Integrals,3550,CA2.1.7.6,1.7.6,Improper Integrals of the Second Kind: Discontinuities at Interior Points,41,72,calculus-ii-topic,later-calculus-ii-topic,,,,759,759,0.95,0,,unresolved,,,,
232,Calculus II,CA2,5,2. Applications of Integration,2.1. Applications of Integration,2512,CA2.2.1.1,2.1.1,Integrating Rates of Change,42,72,calculus-ii-topic,later-calculus-ii-topic,,,,613;1360;3770,613;1360;3770,0.95,0,,unresolved,,,,
233,Calculus II,CA2,5,2. Applications of Integration,2.1. Applications of Integration,2513,CA2.2.1.2,2.1.2,Integrating Density Functions,43,72,calculus-ii-topic,later-calculus-ii-topic,,,,613;626;3770,613;626;3770,0.95,0,,unresolved,,,,
234,Calculus II,CA2,5,2. Applications of Integration,2.1. Applications of Integration,1203,CA2.2.1.3,2.1.3,The Average Value of a Function,44,70,calculus-ii-topic,later-calculus-ii-topic,,,,478;1200,478;1200,0.95,0,,unresolved,,,,
235,Calculus II,CA2,5,2. Applications of Integration,2.1. Applications of Integration,395,CA2.2.1.4,2.1.4,The Area Between Curves Expressed as Functions of X,45,70,calculus-ii-topic,later-calculus-ii-topic,,,,1432,1432,0.95,0,,unresolved,,,,
236,Calculus II,CA2,5,2. Applications of Integration,2.1. Applications of Integration,402,CA2.2.1.5,2.1.5,The Area Between Curves Expressed as Functions of Y,46,71,calculus-ii-topic,later-calculus-ii-topic,,,,395;1041,395;1041,0.95,0,,unresolved,,,,
237,Calculus II,CA2,5,2. Applications of Integration,2.1. Applications of Integration,311,CA2.2.1.6,2.1.6,Finding Areas Between Curves that Intersect at More Than Two Points,47,72,calculus-ii-topic,later-calculus-ii-topic,,,,402;727,402,0.95,0,,unresolved,,,,
238,Calculus II,CA2,5,2. Applications of Integration,2.1. Applications of Integration,760,CA2.2.1.7,2.1.7,The Arc Length of a Planar Curve,48,71,calculus-ii-topic,later-calculus-ii-topic,,,,315;478;3770,315;478;3770,0.95,0,,unresolved,,,,
239,Calculus II,CA2,5,2. Applications of Integration,2.2. Volumes of Solids With Known Cross Sections,1083,CA2.2.2.1,2.2.1,Volumes of Solids with Square Cross Sections,49,72,calculus-ii-topic,later-calculus-ii-topic,,,,402;1352;2975,402;2975,0.95,0,,unresolved,,,,
240,Calculus II,CA2,5,2. Applications of Integration,2.2. Volumes of Solids With Known Cross Sections,1248,CA2.2.2.2,2.2.2,Volumes of Solids with Rectangular Cross Sections,50,73,calculus-ii-topic,later-calculus-ii-topic,,,,1083,1083,0.95,0,,unresolved,,,,
241,Calculus II,CA2,5,2. Applications of Integration,2.2. Volumes of Solids With Known Cross Sections,1276,CA2.2.2.3,2.2.3,Volumes of Solids with Triangular Cross Sections,51,73,calculus-ii-topic,later-calculus-ii-topic,,,,1083;2885;2886,1083,0.95,0,,unresolved,,,,
242,Calculus II,CA2,5,2. Applications of Integration,2.2. Volumes of Solids With Known Cross Sections,1280,CA2.2.2.4,2.2.4,Volumes of Solids with Circular Cross Sections,52,73,calculus-ii-topic,later-calculus-ii-topic,,,,1083;1183;1745,1083,0.95,0,,unresolved,,,,
243,Calculus II,CA2,5,2. Applications of Integration,2.3. Volumes of Revolution,413,CA2.2.3.1,2.3.1,Volumes of Revolution Using the Disc Method: Rotation About the Coordinate Axes,53,71,calculus-ii-topic,later-calculus-ii-topic,,,,1041;1144,1041,0.95,0,,unresolved,,,,
244,Calculus II,CA2,5,2. Applications of Integration,2.3. Volumes of Revolution,1677,CA2.2.3.2,2.3.2,Volumes of Revolution Using the Disc Method: Rotation About Other Axes,54,72,calculus-ii-topic,later-calculus-ii-topic,,,,402;413,402;413,0.95,0,,unresolved,,,,
245,Calculus II,CA2,5,2. Applications of Integration,2.3. Volumes of Revolution,414,CA2.2.3.3,2.3.3,Volumes of Revolution Using the Washer Method: Rotation About the Coordinate Axes,55,72,calculus-ii-topic,later-calculus-ii-topic,,,,402;413,402;413,0.95,0,,unresolved,,,,
246,Calculus II,CA2,5,2. Applications of Integration,2.3. Volumes of Revolution,1082,CA2.2.3.4,2.3.4,Volumes of Revolution Using the Washer Method: Rotation About Other Axes,56,73,calculus-ii-topic,later-calculus-ii-topic,,,,414;1677,414;1677,0.95,0,,unresolved,,,,
247,Calculus II,CA2,5,2. Applications of Integration,2.3. Volumes of Revolution,415,CA2.2.3.5,2.3.5,The Shell Method: Rotating a Region About the X-Axis,57,73,calculus-ii-topic,later-calculus-ii-topic,,,,414;1753,414,0.95,0,,unresolved,,,,
248,Calculus II,CA2,5,2. Applications of Integration,2.3. Volumes of Revolution,3641,CA2.2.3.6,2.3.6,The Shell Method: Rotating a Region Between Two Curves About the X-Axis,58,74,calculus-ii-topic,later-calculus-ii-topic,,,,415,415,0.95,0,,unresolved,,,,
249,Calculus II,CA2,5,2. Applications of Integration,2.3. Volumes of Revolution,1084,CA2.2.3.7,2.3.7,The Shell Method: Rotation About the Y-Axis,59,75,calculus-ii-topic,later-calculus-ii-topic,,,,3641,3641,0.95,0,,unresolved,,,,
250,Calculus II,CA2,5,2. Applications of Integration,2.4. Surface Areas of Revolution,1994,CA2.2.4.1,2.4.1,Surface Areas of Revolution: Rotation About the X-Axis,60,72,calculus-ii-topic,later-calculus-ii-topic,,,,760;1041;1762,760;1041,0.95,0,,unresolved,,,,
251,Calculus II,CA2,5,2. Applications of Integration,2.4. Surface Areas of Revolution,3632,CA2.2.4.2,2.4.2,Surface Areas of Revolution: Rotation About the Y-Axis,61,73,calculus-ii-topic,later-calculus-ii-topic,,,,1994,1994,0.95,0,,unresolved,,,,
252,Calculus II,CA2,5,2. Applications of Integration,2.4. Surface Areas of Revolution,1995,CA2.2.4.3,2.4.3,Surface Areas of Revolution for Parametric Curves,62,74,calculus-ii-topic,later-calculus-ii-topic,,,,997;3632,997;3632,0.95,0,,unresolved,,,,
253,Calculus II,CA2,5,2. Applications of Integration,"2.5. Connecting Position, Velocity and Acceleration Using Integrals",762,CA2.2.5.1,2.5.1,Calculating Velocity Using Integration,63,71,calculus-ii-topic,later-calculus-ii-topic,,,,478;824;3770,478;824;3770,0.95,0,,unresolved,,,,
254,Calculus II,CA2,5,2. Applications of Integration,"2.5. Connecting Position, Velocity and Acceleration Using Integrals",3582,CA2.2.5.2,2.5.2,Determining Characteristics of Moving Objects Using Integration,64,72,calculus-ii-topic,later-calculus-ii-topic,,,,339;762;3581,339;762;3581,0.95,0,,unresolved,,,,
255,Calculus II,CA2,5,2. Applications of Integration,"2.5. Connecting Position, Velocity and Acceleration Using Integrals",335,CA2.2.5.3,2.5.3,Calculating the Position Function of a Particle Using Integration,65,72,calculus-ii-topic,later-calculus-ii-topic,,,,762;1590,762,0.95,0,,unresolved,,,,
256,Calculus II,CA2,5,2. Applications of Integration,"2.5. Connecting Position, Velocity and Acceleration Using Integrals",3576,CA2.2.5.4,2.5.4,Calculating the Displacement of a Particle Using Integration,66,73,calculus-ii-topic,later-calculus-ii-topic,,,,333;335,333;335,0.95,0,,unresolved,,,,
257,Calculus II,CA2,5,2. Applications of Integration,"2.5. Connecting Position, Velocity and Acceleration Using Integrals",636,CA2.2.5.5,2.5.5,Calculating the Total Distance Traveled by a Particle,67,74,calculus-ii-topic,later-calculus-ii-topic,,,,1432;3576,1432;3576,0.95,0,,unresolved,,,,
258,Calculus II,CA2,5,2. Applications of Integration,"2.5. Connecting Position, Velocity and Acceleration Using Integrals",1079,CA2.2.5.6,2.5.6,"Average Position, Velocity, and Acceleration",68,71,calculus-ii-topic,later-calculus-ii-topic,,,,824;1203,824;1203,0.95,0,,unresolved,,,,
259,Calculus II,CA2,5,3. Parametric & Polar Equations,3.1. Parametric Equations,798,CA2.3.1.1,3.1.1,Differentiating Parametric Curves,69,62,calculus-ii-topic,later-calculus-ii-topic,,,,803;1115,803;1115,0.95,0,,unresolved,,,,
260,Calculus II,CA2,5,3. Parametric & Polar Equations,3.1. Parametric Equations,799,CA2.3.1.2,3.1.2,Calculating Tangent and Normal Lines with Parametric Equations,70,63,calculus-ii-topic,later-calculus-ii-topic,,,,798;987,798;987,0.95,0,,unresolved,,,,
261,Calculus II,CA2,5,3. Parametric & Polar Equations,3.1. Parametric Equations,431,CA2.3.1.3,3.1.3,Second Derivatives of Parametric Equations,71,63,calculus-ii-topic,later-calculus-ii-topic,,,,57;281;798,57;281;798,0.95,0,,unresolved,,,,
262,Calculus II,CA2,5,3. Parametric & Polar Equations,3.1. Parametric Equations,997,CA2.3.1.4,3.1.4,The Arc Length of a Parametric Curve,72,73,calculus-ii-topic,later-calculus-ii-topic,,,,760;798;1038,760;798;1038,0.95,0,,unresolved,,,,
263,Calculus II,CA2,5,3. Parametric & Polar Equations,3.1. Parametric Equations,1043,CA2.3.1.5,3.1.5,Calculating Areas Bounded by Parametric Functions,73,72,calculus-ii-topic,later-calculus-ii-topic,,,,317;798;1040,317;798;1040,0.95,0,,unresolved,,,,
264,Calculus II,CA2,5,3. Parametric & Polar Equations,3.2. Vector-Valued Functions,475,CA2.3.2.1,3.2.1,Defining Vector-Valued Functions,74,61,calculus-ii-topic,later-calculus-ii-topic,,,,803;1277,803;1277,0.95,0,,unresolved,,,,
265,Calculus II,CA2,5,3. Parametric & Polar Equations,3.2. Vector-Valued Functions,4139,CA2.3.2.2,3.2.2,Differentiating Vector-Valued Functions,75,65,calculus-ii-topic,later-calculus-ii-topic,,,,281;475;798;1721,281;475;798;1721,0.95,0,,unresolved,,,,
266,Calculus II,CA2,5,3. Parametric & Polar Equations,3.2. Vector-Valued Functions,1085,CA2.3.2.3,3.2.3,Integrating Vector-Valued Functions,76,71,calculus-ii-topic,later-calculus-ii-topic,,,,478;3770;4139,478;3770;4139,0.95,0,,unresolved,,,,
267,Calculus II,CA2,5,3. Parametric & Polar Equations,3.3. The Planar Motion of a Particle,763,CA2.3.3.1,3.3.1,Calculating Velocity for Plane Motion Using Differentiation,77,66,calculus-ii-topic,later-calculus-ii-topic,,,,3581;3767;4139,3581;3767;4139,0.95,0,,unresolved,,,,
268,Calculus II,CA2,5,3. Parametric & Polar Equations,3.3. The Planar Motion of a Particle,825,CA2.3.3.2,3.3.2,Calculating Acceleration for Plane Motion Using Differentiation,78,67,calculus-ii-topic,later-calculus-ii-topic,,,,763,763,0.95,0,,unresolved,,,,
