classification,category-sequence,union-sequence,topic-id,topic-name,course-code,topic-code,topic-number,unit,module,course-map-index,layer,prerequisite-for-target-ids,steps-to-targets,direct-prerequisite-ids,direct-included-prerequisite-ids,completed-at,equivalent-evidence-kinds,equivalent-evidence-distance,equivalent-evidence-topic-ids,equivalent-evidence-topic-names
equivalent,46,46,7008,Modeling Mixed Numbers Using Number Lines,4GM,4GM.6.2.3,6.2.3,6. Fractions & Decimals,6.2. Improper Fractions and Mixed Numbers,,4,334;331;443;1159,334:13;331:8;443:9;1159:10,3893,3893,,activity-history;activity-history,4,425;485,The Discriminant of a Quadratic Equation;Midpoints in the Coordinate Plane
equivalent,47,47,2396,Creating and Interpreting Whole Number Expressions,5GM,5GM.1.1.3,1.1.3,1. The Number System,1.1. Whole Number Expressions,,4,334;331;443;1159,334:16;331:17;443:18;1159:15,2398,2398,,activity-history,8,1583,Solving Exponential Equations With Different Bases
equivalent,48,48,2441,Factoring Numerical Expressions,PAL,PAL.4.2.9,4.2.9,4. Algebraic Expressions,4.2. Simplifying Linear Expressions,,4,334;331;443;1159,334:11;331:12;443:13;1159:9,2398;2439,2398;2439,,activity-history,2,1583,Solving Exponential Equations With Different Bases
equivalent,49,49,2370,Adding Fractions With Like Denominators Using Models,4GM,4GM.6.5.1,6.5.1,6. Fractions & Decimals,6.5. Adding Fractions,,5,334;331;443;1159,334:14;331:10;443:11;1159:12,2364,2364,,activity-history;activity-history;activity-history;activity-history,6,131;296;726;1753,Compound Events in Probability From Experimental Data;Interpreting the Meaning of the Derivative in Context;The Common Logarithm;Volumes of Rectangular Solids
equivalent,50,50,2409,Interpreting Fractions as Division,4GM,4GM.6.1.5,6.1.5,6. Fractions & Decimals,6.1. Fractions,,5,334;331;443;1159,334:13;331:9;443:10;1159:11,2364;2390,2364;2390,,activity-history,4,131,Compound Events in Probability From Experimental Data
equivalent,51,51,3587,"Multiplying by 10, 100, and 1,000 Using Place Value",4GM,4GM.4.2.1,4.2.1,4. Multiplication,4.2. Multiplying Whole Numbers,,5,334;331;443;1159,334:13;331:11;443:12;1159:13,3941,3941,,activity-history,6,131,Compound Events in Probability From Experimental Data
equivalent,52,52,3910,Adding Three-Digit and Two-Digit Numbers,4GM,4GM.3.1.2,3.1.2,3. Addition & Subtraction,3.1. Adding Whole Numbers,,5,334;331;443;1159,334:15;331:11;443:12;1159:13,3875,3875,,activity-history;activity-history;queue-checkmark;activity-history,6,73;459;1589;1753,Fibonacci Sequences;The Distance Formula;Distance-Time Graphs;Volumes of Rectangular Solids
equivalent,53,53,3954,Equivalent Place Value Representations and Borrowing,4GM,4GM.2.1.9,2.1.9,2. The Number System,2.1. Place Value,,5,334;331;443;1159,334:17;331:14;443:15;1159:12,3941,3941,,activity-history,6,167,Negative Angles in the Coordinate Plane
equivalent,54,54,552,Writing Ratios Using Fractions,PAL,PAL.1.1.3,1.1.3,1. Ratios & Percentages,1.1. Ratios,,5,334;331;443;1159,334:11;331:11;443:12;1159:12,553;2364,553;2364,,activity-history,3,336,The Average Rate of Change of a Function
equivalent,55,55,564,Multiplying Unit Fractions by Whole Numbers Using Models,4GM,4GM.6.7.1,6.7.1,6. Fractions & Decimals,6.7. Multiplying Fractions,,6,334;331;443;1159,334:13;331:10;443:11;1159:11,122;2370,122;2370,,activity-history;activity-history;activity-history,5,131;296;1753,Compound Events in Probability From Experimental Data;Interpreting the Meaning of the Derivative in Context;Volumes of Rectangular Solids
equivalent,56,56,2338,"Multiplying by 10, 100, and 1,000 Using the Pattern of Zeros",4GM,4GM.4.2.2,4.2.2,4. Multiplication,4.2. Multiplying Whole Numbers,,6,334;331;443;1159,334:12;331:10;443:11;1159:12,3587,3587,,activity-history,5,131,Compound Events in Probability From Experimental Data
equivalent,57,57,3876,Subtracting Two-Digit Numbers,4GM,4GM.3.2.1,3.2.1,3. Addition & Subtraction,3.2. Subtracting Whole Numbers,,6,334;331;443;1159,334:16;331:13;443:14;1159:11,3954,3954,,activity-history,5,167,Negative Angles in the Coordinate Plane
equivalent,58,58,3911,Adding Three-Digit Numbers,4GM,4GM.3.1.3,3.1.3,3. Addition & Subtraction,3.1. Adding Whole Numbers,,6,334;331;443;1159,334:16;331:13;443:14;1159:15,3910,3910,,activity-history;queue-checkmark,8,73;1589,Fibonacci Sequences;Distance-Time Graphs
equivalent,59,59,543,Adding Fractions and Whole Numbers Using Models,5GM,5GM.3.1.1,3.1.1,3. Adding & Subtracting Fractions,3.1. Adding and Subtracting Fractions and Whole Numbers,,6,334;331;443;1159,334:16;331:14;443:15;1159:11,2370;3893,2370;3893,,activity-history;activity-history;activity-history,7,355;437;1583,Splitting Rational Expressions Into Separate Terms;Adding and Subtracting Rational Expressions;Solving Exponential Equations With Different Bases
equivalent,60,60,488,Multiplying Whole Numbers Ending in Zeros,4GM,4GM.4.2.4,4.2.4,4. Multiplication,4.2. Multiplying Whole Numbers,,7,334;331;443;1159,334:15;331:11;443:12;1159:13,2338,2338,,activity-history;queue-checkmark;activity-history,6,73;1589;1753,Fibonacci Sequences;Distance-Time Graphs;Volumes of Rectangular Solids
equivalent,61,61,2313,Comparing Place Values,4GM,4GM.2.2.1,2.2.1,2. The Number System,2.2. Comparing Whole Numbers,,7,334;331;443;1159,334:14;331:14;443:15;1159:15,2338;3874,2338;3874,,activity-history;activity-history;activity-history;activity-history;activity-history,8,14;37;131;336;1753,Imaginary Numbers;The Power and Root Rules for Limits;Compound Events in Probability From Experimental Data;The Average Rate of Change of a Function;Volumes of Rectangular Solids
equivalent,62,62,3882,"Dividing by 10, 100, and 1,000 Using the Pattern of Zeros",4GM,4GM.5.1.7,5.1.7,5. Division,5.1. Dividing Whole Numbers,,7,334;331;443;1159,334:13;331:9;443:10;1159:11,2338;3877,2338;3877,,activity-history,4,131,Compound Events in Probability From Experimental Data
equivalent,63,63,3906,Subtracting Two-Digit Numbers From Three-Digit Numbers,4GM,4GM.3.2.2,3.2.2,3. Addition & Subtraction,3.2. Subtracting Whole Numbers,,7,334;331;443;1159,334:16;331:13;443:14;1159:11,3876,3876,,activity-history,4,167,Negative Angles in the Coordinate Plane
equivalent,64,64,3912,Adding Numbers Up to Five Digits,4GM,4GM.3.1.4,3.1.4,3. Addition & Subtraction,3.1. Adding Whole Numbers,,7,334;331;443;1159,334:15;331:12;443:13;1159:14,3911,3911,,activity-history;queue-checkmark,7,73;1589,Fibonacci Sequences;Distance-Time Graphs
equivalent,65,65,3924,Rewriting Numbers Ending in Zeros,4GM,4GM.4.2.3,4.2.3,4. Multiplication,4.2. Multiplying Whole Numbers,,7,334;331;443;1159,334:16;331:11;443:12;1159:13,2338,2338,,activity-history;queue-checkmark,7,425;1589,The Discriminant of a Quadratic Equation;Distance-Time Graphs
equivalent,66,66,3968,Multiplying Fractions by Whole Numbers Using Models,4GM,4GM.6.7.2,6.7.2,6. Fractions & Decimals,6.7. Multiplying Fractions,,7,334;331;443;1159,334:13;331:9;443:10;1159:10,564,564,,activity-history;activity-history;activity-history,4,131;296;1753,Compound Events in Probability From Experimental Data;Interpreting the Meaning of the Derivative in Context;Volumes of Rectangular Solids
