module-id,module-code,module-name
123039,HI1.8.2,Factoring Polynomials
123040,HI1.9.1,Introduction to Sequences
123041,HI1.9.2,Arithmetic Sequences
123136,HI1.10.1,Geometric Proofs
123042,HI1.10.2,Geometric Transformations
123043,HI1.10.3,Congruence
123044,HI1.10.4,Triangles
123045,HI1.10.5,Circles
123046,HI1.10.6,Coordinate Geometry
123047,HI1.11.1,Correlation
123048,HI2.1.1,The Number System
123049,HI2.1.2,Introduction to Complex Numbers
123050,HI2.2.1,Polynomials
123051,HI2.2.2,Quadratic Equations
123052,HI2.2.3,Factoring Polynomials
123053,HI2.2.4,Polynomial Equations
123054,HI2.3.1,Quadratic Functions
123055,HI2.3.2,Modeling With Quadratic Functions
123056,HI2.4.1,Functions
123057,HI2.4.2,Graph Transformations of Functions
123058,HI2.5.1,Absolute Value Functions
123059,HI2.6.1,Introduction to Logarithms
123060,HI2.6.2,The Laws of Logarithms
123061,HI2.6.3,Graphs of Exponential Functions
123062,HI2.6.4,Graphs of Logarithmic Functions
123063,HI2.6.5,Exponential Equations
123064,HI2.6.6,Logarithmic Equations
123065,HI2.6.7,Modeling with Exponential Functions
123066,HI2.7.1,Geometric Sequences
123067,HI2.7.2,Arithmetic Series
123068,HI2.7.3,The Binomial Theorem
123069,HI2.8.1,Rational Expressions
123070,HI2.8.2,Radical Equations
123071,HI2.9.1,Similarity
123072,HI2.9.2,Circles
123137,HI2.9.3,Polygons
123073,HI2.9.4,Circles
123074,HI2.9.5,Parabolas
123075,HI2.10.1,Introduction to Solid Geometry
123076,HI2.10.2,Rectangular Solids and Pyramids
123077,HI2.10.3,Non-Polyhedrons
123078,HI2.11.1,Introduction to Trigonometry
123079,HI2.11.2,Radians
123080,HI2.11.3,The Unit Circle
123081,HI2.11.4,Special Trigonometric Ratios
123082,HI2.11.5,Graphing Trigonometric Functions
123083,HI2.11.6,Properties of Trigonometric Functions
123084,HI2.11.7,Graph Transformations of Trigonometric Functions
123085,HI2.11.8,Properties of Transformed Trigonometric Functions
123086,HI2.12.1,Introduction to Probability
123087,HI2.12.2,Compound Events in Probability
123088,HI2.12.3,Conditional Probability
123089,HI2.12.4,Combinatorics
123090,HI2.12.5,Analyzing Data
123091,HI2.12.6,Correlation and Regression
117140,HI3.1.1,Finite Geometric Series
117144,HI3.2.1,Dividing Polynomials
117147,HI3.2.2,Polynomial Theorems
117149,HI3.2.3,Graphs of Polynomials
117153,HI3.3.1,Rational Equations
117154,HI3.3.2,Reciprocal Functions
117156,HI3.3.3,Rational Functions
117158,HI3.4.1,Radical Expressions
117160,HI3.4.2,Graphs of Radical Functions
117163,HI3.5.1,Quadratic Inequalities
117165,HI3.5.2,Polynomial Inequalities
117166,HI3.5.3,Non-Polynomial Inequalities
117171,HI3.6.1,Ellipses as Conic Sections
117173,HI3.6.2,Hyperbolas as Conic Sections
117176,HI3.7.1,Trigonometry with General Triangles
117178,HI3.7.2,The Inverse Trigonometric Functions
117179,HI3.8.1,Trigonometric Identities
