layer,topic-id,topic-code,topic-name,lesson-path,source-path
23,2452,PAL.1.4.3,Converting Between Percentages and Decimals,,
25,2453,PAL.1.4.4,Finding Part of a Number Given a Whole and a Percentage,,
35,2454,PAL.1.4.5,Finding Part of a Number Given a Whole and a Percentage: Word Problems,,
29,2455,PAL.1.4.6,Finding a Percentage Given Two Numbers,,
36,3754,PAL.1.4.7,Finding a Percentage Given Two Numbers: Word Problems,,
38,2456,PAL.1.4.8,Finding a Total Given a Part and a Percentage,,
36,6642,PAL.1.4.9,Applying Percentages in Succession,,
36,2560,PAL.1.5.1,Applying Percentage Increases,,
37,6643,PAL.1.5.2,Applying Percentage Decreases,,
38,6666,PAL.1.5.3,Calculating Percentage Change,,
37,6646,PAL.1.5.4,Finding Original Values From Percentage Increases,,
38,6663,PAL.1.5.5,Finding Original Values From Percentage Decreases,,
23,327,PAL.2.1.1,Subtracting a Positive Number From a Smaller Positive Number,,
24,3720,PAL.2.1.2,Subtracting a Positive Number From a Negative Number,,
25,3679,PAL.2.1.3,Subtracting a Positive Fraction From a Smaller Fraction,,
25,3680,PAL.2.1.4,Subtracting a Positive Decimal From a Smaller Decimal,,
26,329,PAL.2.1.5,Adding a Positive Number to a Negative Number,,
27,328,PAL.2.1.6,Adding a Negative Number,,
27,297,PAL.2.1.7,Subtracting a Negative Number,,
28,524,PAL.2.1.8,Additive Inverses of Numbers,,
28,1131,PAL.2.1.9,Solving Problems Using Addition and Subtraction of Rational Numbers,,
23,298,PAL.2.2.1,Multiplying Positive Numbers With Negative Numbers,,
24,3718,PAL.2.2.2,Multiplying Negative Numbers,,
25,330,PAL.2.2.3,Dividing With Negative Numbers,,
26,4136,PAL.2.2.4,Equivalent Fractions With Negative Numbers,,
27,3719,PAL.2.2.5,Dividing With Negative Decimals and Fractions,,
31,2202,PAL.2.2.6,Reciprocals of Rational Numbers,,
18,299,PAL.2.2.7,Multiplying and Dividing With Zero,,
36,323,PAL.2.2.8,Fractions of Fractions,,
29,1024,PAL.2.2.9,Solving Problems Using the Four Operations on Rational Numbers,,
26,2805,PAL.2.3.1,"Divisibility of Integers by 2, 5, 10, 4, and 8",,
27,3543,PAL.2.3.2,"Divisibility of Integers by 3, 9, 6, and 7",,
32,2558,PAL.2.3.3,"Natural Numbers, Integers, and Rational Numbers",,
27,840,PAL.2.3.4,Prime and Composite Numbers,,
28,829,PAL.2.3.5,Prime Factors,,
29,4250,PAL.2.3.6,The Fundamental Theorem of Arithmetic,,
30,811,PAL.2.3.7,Finding Greatest Common Factors Using Prime Factorization,,
38,755,PAL.2.3.8,Finding Lowest Common Multiples Using Prime Factorization,,
28,2174,PAL.3.1.1,Squaring Rational Numbers,,
29,2195,PAL.3.1.2,Cubing Rational Numbers,,
30,125,PAL.3.1.3,Exponents With Rational Bases,,
31,322,PAL.3.1.4,The Zeroth Power,,
32,652,PAL.3.1.5,Powers of Negative One,,
33,3561,PAL.3.1.6,Negative Exponents,,
34,267,PAL.3.2.1,The Product Rule for Exponents,,
42,1223,PAL.3.2.2,The Quotient Rule for Exponents,,
35,1224,PAL.3.2.3,The Power Rule for Exponents,,
42,2012,PAL.3.2.4,The Power of Product Rule for Exponents,,
48,1289,PAL.3.2.5,The Power of Quotient Rule for Exponents,,
49,1457,PAL.3.2.6,Combining the Rules of Exponents,,
